Year,Player,home team,Opponent Player,Opponent Team,Venue,1st Ruound,2nd Round,3rd Round,4th Round,Win/Loss,,
1998,Jansher Khan,Pakistan,Stefan Casteleyn,Belgium,Birmingham,17,3,17,5,win,,
1998,Jansher Khan,Pakistan,Davis,Austraila,Birmingham,15,15,15,,win,,
1998,Jansher Khan,Pakistan,Johnson,England,Birmingham,15,15,17,,win,,
1998,Jansher Khan,Pakistan,Jenson,Austraila,Birmingham,15,15,10,15,win,,
1998,Jansher Khan,Pakistan,Nicol,Scotland,Birmingham,16,14,5,,win,,
1997,Jansher Khan,Pakistan,Derek Rayan,Ireland,Cardiff,15,15,15,,win,,
1997,Jansher Khan,Pakistan,Kneipp,Austraila,Cardiff,15,15,15,,Win,,
1997,Jansher Khan,Pakistan,Walker,England,Cardiff,15,15,15,,win,,
1997,Jansher Khan,Pakistan,Barda,Egypt,Cardiff,13,15,15,15,win,,
1997,Jansher Khan,Pakistan,Nicol,Scotland,Cardiff,17,9,15,8,loss,,
1996,Jansher Khan,Pakistan,Derek Rayan,Ireland,Cardiff,16,15,15,15,win,,
1996,Jansher Khan,Pakistan,Z J Khan,Pakistan,Cardiff,15,15,15,,win,,
1996,Jansher Khan,Pakistan,Gragory,England,Cardiff,15,15,15,,win,,
1996,Jansher Khan,Pakistan,Bonetat,France,Cardiff,12,15,15,15,win,,
1996,Jansher Khan,Pakistan,Eyes,Austraila,Cardiff,15,15,15,,win,,
1995,Jansher Khan,Pakistan,Angus,England,Wales,15,15,15,,win,,
1995,Jansher Khan,Pakistan,Noman,AUSTRaila,Wales,15,15,15,,win,,
1995,Jansher Khan,Pakistan,hill,AUstraila,Wales,15,12,15,15,win,,
1995,Jansher Khan,Pakistan,Eyes,Austraila,Wales,12,15,15,15,win,,
1995,jansher Khan,pakistan,Marshal,England,Wales,15,15,15,,win,,
1994,jansher Khan,pakistan,Angus,England,London,9,9,9,,win,,
1994,jansher Khan,pakistan,Nicolle,England,London,9,9,9,,win,,
1994,jansher Khan,pakistan,Eyles,Austraila,London,9,9,9,,win,,
1993,jansher Khan,pakistan,Julien Bonetat,France,London,9,9,9,,Win,,
1993,jansher Khan,pakistan,Lord,England,London,9,9,9,,win,,
1993,jansher Khan,pakistan,Noman,AUstraila,London,9,9,10,,win,,
1993,jansher Khan,pakistan,Z j Khan,Pakistan,London,5,9,9,4,win,,
1993,jansher Khan,pakistan,Dittmar,Austraila,London,9,9,6,9,win,,
1992,jansher Khan,pakistan,Raymond Scheffer,Itlay,London,9,9,9,,win,,
1992,jansher Khan,pakistan,Walker,England,London,9,9,9,,win,,
1992,jansher Khan,pakistan,NanCarrow,Austraila,London,9,9,9,,win,,
1992,jansher Khan,pakistan,Martin R,Austraila,London,9,9,9,10,win,,
1992,jansher Khan,pakistan,Robertson,Austraila,London,9,10,9,,win,,
1991,jansher Khan,pakistan,Darmin,England,Wales,9,,,,win,,
1991,jansher Khan,Pakistan,Davies,Wales,Wales,9,10,9,,win,,
1991,jansher Khan,pakistan,Beeson,England,Wales,9,9,9,,win,,
1991,jansher Khan, pakistan,Martin R,Austraila,Wales,9,9,9,,win,,
1991,jansher Khan, pakistan,Z J Khan,Pakistan,Wales,2,9,9,9,loss,,
1987,jansher Khan, pakistan,Michael,Austraila,London,9,9,9,,win,,
1987,jansher Khan, pakistan,Gragory,England,London,9,9,9,,win,,
1987,jansher Khan, pakistan,NanCarrow,Austraila,London,9,9,4,9,win,,
1987,jansher Khan, pakistan,Robertson,Austraila,London,9,9,9,,win,,
1987,jansher Khan, pakistan,Martin R,Austraila,London,7,8,9,9,win,,
1987,jansher Khan, pakistan,Eyes,Austraila,London,9,9,9,,win,,
1987,jansher Khan, pakistan,Z J Khan,Pakistan,London,9,8,9,9,win,,
1987,jansher Khan, pakistan,Noman,Austraila,London,8,9,9,9,win,,
1987,jansher Khan, pakistan,Dittmar,Austraila,London,9,4,9,4,win,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
