1st Ruound,2nd Round,3rd Round,4th Round,Win/Loss
17,3,17,5,win
15,15,15,0,win
15,15,17,0,win
15,15,10,15,win
16,14,5,0,win
15,15,15,0,win
15,15,15,0,Win
15,15,15,0,win
13,15,15,15,win
17,9,15,8,loss
16,15,15,15,win
15,15,15,0,win
15,15,15,0,win
12,15,15,15,win
15,15,15,0,win
15,15,15,0,win
15,15,15,0,win
15,12,15,15,win
12,15,15,15,win
15,15,15,0,win
9,9,9,0,win
9,9,9,0,win
9,9,9,0,win
9,9,9,0,Win
9,9,9,0,win
9,9,10,0,win
5,9,9,4,win
9,9,6,9,win
9,9,9,0,win
9,9,9,0,win
9,9,9,0,win
9,9,9,10,win
9,10,9,0,win
9,0,0,0,win
9,10,9,0,win
9,9,9,0,win
9,9,9,0,win
2,9,9,9,loss
9,9,9,0,win
9,9,9,0,win
9,9,4,9,win
9,9,9,0,win
7,8,9,9,win
9,9,9,0,win
9,8,9,9,win
8,9,9,9,win
9,4,9,4,win
