1st Ruound,2nd Round,3rd Round,4th Round
17,3,17,5
15,15,15,0
15,15,17,0
15,15,10,15
16,14,5,0
15,15,15,0
15,15,15,0
15,15,15,0
13,15,15,15
17,9,15,8
16,15,15,15
15,15,15,0
15,15,15,0
12,15,15,15
15,15,15,0
15,15,15,0
15,15,15,0
15,12,15,15
12,15,15,15
15,15,15,0
9,9,9,0
9,9,9,0
9,9,9,0
9,9,9,0
9,9,9,0
9,9,10,0
5,9,9,4
9,9,6,9
9,9,9,0
9,9,9,0
9,9,9,0
9,9,9,10
9,10,9,0
9,0,0,0
9,10,9,0
9,9,9,0
9,9,9,0
2,9,9,9
9,9,9,0
9,9,9,0
9,9,4,9
9,9,9,0
7,8,9,9
9,9,9,0
9,8,9,9
8,9,9,9
9,4,9,4
